path,name,budget
/US FEDERAL GOVERNMENT,US FEDERAL GOVERNMENT,{'name': 'US FEDERAL GOVERNMENT'}
/US FEDERAL GOVERNMENT/[budget] United States Institute of Peace (458),[budget] United States Institute of Peace (458),"{'budget_level': 'agency', 'agency_code': 458, 'agency_name': 'United States Institute of Peace', '2019': 36000, '2020': 39000, '2021': 44000, '2022': 49000, '2023': 72000, '2024': 56000, 'name': 'United States Institute of Peace', 'id': '458'}"
/US FEDERAL GOVERNMENT/[budget] United States Institute of Peace (458)/[budget] United States Institute of Peace (458-0),[budget] United States Institute of Peace (458-0),"{'budget_level': 'bureau', 'agency_code': 458, 'agency_name': 'United States Institute of Peace', 'bureau_code': 0, 'bureau_name': 'United States Institute of Peace', '2019': 36000, '2020': 39000, '2021': 44000, '2022': 49000, '2023': 72000, '2024': 56000, 'name': 'United States Institute of Peace', 'id': '458-0'}"
/US FEDERAL GOVERNMENT/[budget] National Council on Disability (413),[budget] National Council on Disability (413),"{'budget_level': 'agency', 'agency_code': 413, 'agency_name': 'National Council on Disability', '2019': 3000, '2020': 3000, '2021': 3000, '2022': 4000, '2023': 4000, '2024': 4000, 'name': 'National Council on Disability', 'id': '413'}"
/US FEDERAL GOVERNMENT/[budget] National Council on Disability (413)/[budget] National Council on Disability (413-0),[budget] National Council on Disability (413-0),"{'budget_level': 'bureau', 'agency_code': 413, 'agency_name': 'National Council on Disability', 'bureau_code': 0, 'bureau_name': 'National Council on Disability', '2019': 3000, '2020': 3000, '2021': 3000, '2022': 4000, '2023': 4000, '2024': 4000, 'name': 'National Council on Disability', 'id': '413-0'}"
/US FEDERAL GOVERNMENT/[budget] Executive Office of the President (100),[budget] Executive Office of the President (100),"{'budget_level': 'agency', 'agency_code': 100, 'agency_name': 'Executive Office of the President', '2019': 424000, '2020': 400000, '2021': 428000, '2022': 457000, '2023': 672000, '2024': 658000, 'name': 'Executive Office of the President', 'id': '100'}"
/US FEDERAL GOVERNMENT/[budget] Executive Office of the President (100)/[budget] Office of the United States Trade Representative (100-70),[budget] Office of the United States Trade Representative (100-70),"{'budget_level': 'bureau', 'agency_code': 100, 'agency_name': 'Executive Office of the President', 'bureau_code': 70, 'bureau_name': 'Office of the United States Trade Representative', '2019': 77000, '2020': 130000, '2021': 85000, '2022': 85000, '2023': 126000, '2024': 98000, 'name': 'Office of the United States Trade Representative', 'id': '100-70'}"
/US FEDERAL GOVERNMENT/[budget] Executive Office of the President (100)/[budget] The White House (100-5),[budget] The White House (100-5),"{'budget_level': 'bureau', 'agency_code': 100, 'agency_name': 'Executive Office of the President', 'bureau_code': 5, 'bureau_name': 'The White House', '2019': 52000, '2020': 59000, '2021': 63000, '2022': 71000, '2023': 85000, '2024': 81000, 'name': 'The White House', 'id': '100-5'}"
/US FEDERAL GOVERNMENT/[budget] Executive Office of the President (100)/[budget] Council of Economic Advisers (100-20),[budget] Council of Economic Advisers (100-20),"{'budget_level': 'bureau', 'agency_code': 100, 'agency_name': 'Executive Office of the President', 'bureau_code': 20, 'bureau_name': 'Council of Economic Advisers', '2019': 4000, '2020': 4000, '2021': 4000, '2022': 3000, '2023': 6000, '2024': 5000, 'name': 'Council of Economic Advisers', 'id': '100-20'}"
/US FEDERAL GOVERNMENT/[budget] Executive Office of the President (100)/[budget] Office of National Drug Control Policy (100-60),[budget] Office of National Drug Control Policy (100-60),"{'budget_level': 'bureau', 'agency_code': 100, 'agency_name': 'Executive Office of the President', 'bureau_code': 60, 'bureau_name': 'Office of National Drug Control Policy', '2019': 15000, '2020': 20000, '2021': 17000, '2022': 20000, '2023': 35000, '2024': 24000, 'name': 'Office of National Drug Control Policy', 'id': '100-60'}"
