path,name,cisagov
/US FEDERAL GOVERNMENT,US FEDERAL GOVERNMENT,{'name': 'US FEDERAL GOVERNMENT'}
/US FEDERAL GOVERNMENT/[cisagov] American Battle Monuments Commission,[cisagov] American Battle Monuments Commission,"{'name': 'American Battle Monuments Commission', 'records': [{'domain_name': 'ABMC.GOV', 'domain_type': 'Federal - Executive', 'agency': 'American Battle Monuments Commission', 'organization': 'American Battle Monuments Commission', 'city': 'Arlington', 'state': 'VA', 'security_contact_email': 'itsec@abmc.gov'}]}"
/US FEDERAL GOVERNMENT/[cisagov] American Battle Monuments Commission/[cisagov] Office of Chief Information Officer,[cisagov] Office of Chief Information Officer,"{'name': 'Office of Chief Information Officer', 'records': [{'domain_name': 'ABMCSCHOLAR.GOV', 'domain_type': 'Federal - Executive', 'agency': 'American Battle Monuments Commission', 'organization': 'Office of Chief Information Officer', 'city': 'Arlington', 'state': 'VA', 'security_contact_email': 'itsec@abmc.gov'}, {'domain_name': 'NATIONALMALL.GOV', 'domain_type': 'Federal - Executive', 'agency': 'American Battle Monuments Commission', 'organization': 'Office of Chief Information Officer', 'city': 'Arlington', 'state': 'VA', 'security_contact_email': 'itsec@abmc.gov'}, {'domain_name': 'BUDGETLOB.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Education', 'organization': 'Office of Chief Information Officer', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'EDSOC@ed.gov'}, {'domain_name': 'CHILDSTATS.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Education', 'organization': 'Office of Chief Information Officer', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'EDSOC@ed.gov'}, {'domain_name': 'COLLEGENAVIGATOR.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Education', 'organization': 'Office of Chief Information Officer', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'EDSOC@ed.gov'}, {'domain_name': 'ED.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Education', 'organization': 'Office of Chief Information Officer', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'EDSOC@ed.gov'}, {'domain_name': 'G5.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Education', 'organization': 'Office of Chief Information Officer', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'EDSOC@ed.gov'}, {'domain_name': 'NAGB.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Education', 'organization': 'Office of Chief Information Officer', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'EDSOC@ed.gov'}, {'domain_name': 'NATIONSREPORTCARD.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Education', 'organization': 'Office of Chief Information Officer', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'EDSOC@ed.gov'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Appraisal Subcommittee,[cisagov] Appraisal Subcommittee,"{'name': 'Appraisal Subcommittee', 'records': [{'domain_name': 'ASC.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Appraisal Subcommittee', 'organization': 'Appraisal Subcommittee', 'city': 'Washington', 'state': 'DC', 'security_contact_email': '(blank)'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Armed Forces Retirement Home,[cisagov] Armed Forces Retirement Home,"{'name': 'Armed Forces Retirement Home', 'records': [{'domain_name': 'AFRH.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Armed Forces Retirement Home', 'organization': 'Armed Forces Retirement Home', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'Stanley.Whitehead@afrh.gov'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Barry Goldwater Scholarship and Excellence in Education Foundation,[cisagov] Barry Goldwater Scholarship and Excellence in Education Foundation,"{'name': 'Barry Goldwater Scholarship and Excellence in Education Foundation', 'records': [{'domain_name': 'GOLDWATERSCHOLARSHIP.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Barry Goldwater Scholarship and Excellence in Education Foundation', 'organization': 'Barry Goldwater Scholarship and Excellence in Education Foundation', 'city': 'Alexandria', 'state': 'VA', 'security_contact_email': 'goldwaterao@goldwaterscholarship.gov'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Central Intelligence Agency,[cisagov] Central Intelligence Agency,"{'name': 'Central Intelligence Agency', 'records': [{'domain_name': 'CIA.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Central Intelligence Agency', 'organization': 'Central Intelligence Agency', 'city': 'Washington', 'state': 'DC', 'security_contact_email': '(blank)'}, {'domain_name': 'IC.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Central Intelligence Agency', 'organization': 'Central Intelligence Agency', 'city': 'Washington', 'state': 'DC', 'security_contact_email': '(blank)'}, {'domain_name': 'ISTAC.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Central Intelligence Agency', 'organization': 'Central Intelligence Agency', 'city': 'Washington', 'state': 'DC', 'security_contact_email': '(blank)'}, {'domain_name': 'ODCI.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Central Intelligence Agency', 'organization': 'Central Intelligence Agency', 'city': 'Washington', 'state': 'DC', 'security_contact_email': '(blank)'}, {'domain_name': 'UCIA.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Central Intelligence Agency', 'organization': 'Central Intelligence Agency', 'city': 'Washington', 'state': 'DC', 'security_contact_email': '(blank)'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Central Intelligence Agency/[cisagov] DNI Open Source Center,[cisagov] DNI Open Source Center,"{'name': 'DNI Open Source Center', 'records': [{'domain_name': 'OPENSOURCE.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Central Intelligence Agency', 'organization': 'DNI Open Source Center', 'city': 'Washington', 'state': 'DC', 'security_contact_email': '(blank)'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Central Intelligence Agency/[cisagov] CIA\GCS OSEG,[cisagov] CIA\GCS OSEG,"{'name': 'CIA\\GCS OSEG', 'records': [{'domain_name': 'OSDE.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Central Intelligence Agency', 'organization': 'CIA\\GCS OSEG', 'city': 'Reston', 'state': 'VA', 'security_contact_email': '(blank)'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Commodity Futures Trading Commission,[cisagov] Commodity Futures Trading Commission,"{'name': 'Commodity Futures Trading Commission', 'records': [{'domain_name': 'SMARTCHECK.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Commodity Futures Trading Commission', 'organization': 'Commodity Futures Trading Commission', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'Security_VDP@cftc.gov'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Commodity Futures Trading Commission/[cisagov] U.S. Commodity Futures Trading Commission,[cisagov] U.S. Commodity Futures Trading Commission,"{'name': 'U.S. Commodity Futures Trading Commission', 'records': [{'domain_name': 'CFTC.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Commodity Futures Trading Commission', 'organization': 'U.S. Commodity Futures Trading Commission', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'Security_VDP@cftc.gov'}, {'domain_name': 'WHISTLEBLOWER.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Commodity Futures Trading Commission', 'organization': 'U.S. Commodity Futures Trading Commission', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'Security_VDP@cftc.gov'}]}"
