path,name,digitalregistry
/US FEDERAL GOVERNMENT,US FEDERAL GOVERNMENT,{'name': 'US FEDERAL GOVERNMENT'}
/US FEDERAL GOVERNMENT/[digitalregistry] U.S. Department of Health & Human Services (2119),[digitalregistry] U.S. Department of Health & Human Services (2119),"{'id': 2119, 'name': 'U.S. Department of Health & Human Services', 'url': 'https://www.hhs.gov/', 'abbreviation': 'HHS', 'domain': 'hhs.gov', 'digital_analytics_path': '', 'mission_statement': 'Enhance the health and well-being of all Americans, by providing for effective health and human services and by fostering sound, sustained advances in the sciences underlying medicine, public health, and social services.', 'mission_statement_url': 'https://www.hhs.gov/', 'performance_url': 'https://www.hhs.gov/about/budget/fy2024/performance/index.html', 'strategic_plan_url': 'https://www.hhs.gov/about/strategic-plan/2022-2026/index.html', 'learning_agenda_url': 'https://aspe.hhs.gov/reports/fy-2023-2026-hhs-evidence-building-plan ', 'cfo_act_agency': True, 'digital_service_accounts': [{'name': 'HIV.gov', 'contacts': [], 'service': 'facebook', 'service_url': 'http://facebook.com/hivgov', 'account': 'Facebook', 'language': 'English', 'status': 'published', 'short_description': 'Gateway to domestic U.S. government HIV/AIDS testing, treatment, research, policy and digital communications resources: www.AIDS.gov http://blog.AIDS.gov/', 'long_description': 'HIV/AIDS information from across the U.S. government. Visit www.HIV.gov for information on HIV Basics, Awareness Days, National HIV/AIDS Strategy, digital/social media planning. Subscribe to  http://hiv.gov/blog to get the latest on HIV updates. ', 'tags': []}], 'digital_products': []}"
/US FEDERAL GOVERNMENT/[digitalregistry] Centers for Disease Control and Prevention (2140),[digitalregistry] Centers for Disease Control and Prevention (2140),"{'id': 2140, 'name': 'Centers for Disease Control and Prevention', 'url': 'https://cdc.gov', 'abbreviation': 'CDC', 'domain': 'cdc.gov', 'cfo_act_agency': False, 'digital_service_accounts': [{'name': 'Facebook - CDC', 'contacts': [], 'service': 'facebook', 'service_url': 'http://www.facebook.com/CDC', 'account': 'Facebook', 'language': 'English', 'status': 'published', 'short_description': '', 'long_description': 'For questions about this account, please contact Emily Hood (OADC)', 'tags': []}], 'digital_products': []}"
/US FEDERAL GOVERNMENT/[digitalregistry] Consumer Protection Finance Bureau (2143),[digitalregistry] Consumer Protection Finance Bureau (2143),"{'id': 2143, 'name': 'Consumer Protection Finance Bureau', 'url': 'https://www.consumerfinance.gov/', 'abbreviation': 'CFPB', 'domain': 'cfpb.gov', 'cfo_act_agency': False, 'digital_service_accounts': [{'name': 'Consumer Financial Protection Bureau', 'contacts': [], 'service': 'facebook', 'service_url': 'http://facebook.com/cfpb', 'account': 'Facebook', 'language': 'English', 'status': 'published', 'short_description': 'The official Facebook account of the CFPB', 'long_description': '', 'tags': ['cfpb']}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] Department of Labor (2082),[digitalregistry] Department of Labor (2082),"{'id': 2082, 'name': 'Department of Labor', 'url': 'https://dol.gov/', 'abbreviation': 'DOL', 'domain': 'dol.gov', 'digital_analytics_path': '', 'mission_statement': 'To foster, promote, and develop the welfare of the wage earners, job seekers, and retirees of the United States; improve working conditions; advance opportunities for profitable employment; and assure work-related benefits and rights.', 'mission_statement_url': 'https://www.dol.gov/', 'performance_url': 'https://www.dol.gov/general/aboutdol#budget', 'strategic_plan_url': 'https://www.dol.gov/general/aboutdol#budget ', 'learning_agenda_url': 'https://www.evaluation.gov/agencies/department-of-labor/', 'cfo_act_agency': True, 'digital_service_accounts': [{'name': 'DepartmentofLabor', 'contacts': [{'email': 'koebel.tiffany.l@dol.gov'}], 'service': 'facebook', 'service_url': 'http://facebook.com/departmentoflabor', 'account': 'Facebook', 'language': 'English', 'status': 'published', 'short_description': ""Information from the U.S. Department of Labor on jobs and training, safety and regulations, and other issues impacting America's workforce, job seekers and retirees."", 'long_description': 'The mission of the U.S. Department of Labor is to foster, promote, and develop the welfare of the wage earners, job seekers, and retirees of the United States; improve working conditions; advance opportunities for profitable employment; and assure work-related benefits and rights. Our Facebook page reflects this mission, and provides updates on Labor Department initiatives and resources.', 'tags': ['leave', 'pay', 'workplace', 'work']}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] U.S. Department of Justice (2109),[digitalregistry] U.S. Department of Justice (2109),"{'id': 2109, 'name': 'U.S. Department of Justice', 'url': 'https://www.justice.gov/', 'abbreviation': 'DOJ', 'domain': 'usdoj.gov', 'digital_analytics_path': '', 'mission_statement': 'To uphold the rule of law, to keep our country safe, and to protect civil rights.', 'mission_statement_url': 'https://www.justice.gov/', 'performance_url': 'https://www.justice.gov/doj/budget-and-performance', 'strategic_plan_url': 'https://www.justice.gov/doj/doj-strategic-plan-2022-2026', 'learning_agenda_url': ' https://www.evaluation.gov/agencies/department-of-justice/', 'cfo_act_agency': True, 'digital_service_accounts': [{'name': 'Department of Justice', 'contacts': [], 'service': 'facebook', 'service_url': 'http://facebook.com/DOJ', 'account': 'Facebook', 'language': 'English', 'status': 'published', 'short_description': '', 'long_description': '', 'tags': []}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] National Archives (2124),[digitalregistry] National Archives (2124),"{'id': 2124, 'name': 'National Archives', 'url': 'https://www.archives.gov/', 'abbreviation': 'NARA', 'domain': 'nara.gov', 'cfo_act_agency': False, 'digital_service_accounts': [{'name': 'Federal Register', 'contacts': [], 'service': 'facebook', 'service_url': 'http://facebook.com/FedRegister', 'account': 'Facebook', 'language': 'English', 'status': 'published', 'short_description': 'Official Facebook of the Office of the Federal Register (OFR)! OFR publishes governmental policies and makes them available to the public.  This site is managed by the National Archives and Records Administration.', 'long_description': 'National Archives Facebook Commenting Policy: https://www.archives.gov/social-media/policies/facebook-comment-policy.html', 'tags': ['Nara']}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] General Services Administration (1),[digitalregistry] General Services Administration (1),"{'id': 1, 'name': 'General Services Administration', 'url': 'https://www.gsa.gov/', 'abbreviation': 'GSA', 'domain': 'gsa.gov', 'digital_analytics_path': '', 'mission_statement': 'To deliver the best customer experience and value in real estate, acquisition, and technology services to the Government and the American people.', 'mission_statement_url': 'https://gsa.gov', 'performance_url': 'https://www.gsa.gov/reference/reports/budget-performance', 'strategic_plan_url': 'https://www.gsa.gov/reference/reports/budget-performance/gsa-fy-20222026-strategic-plan', 'learning_agenda_url': 'https://www.evaluation.gov/agencies/general-services-administration/', 'cfo_act_agency': True, 'digital_service_accounts': [{'name': 'GobiernoUSA.gov', 'contacts': [], 'service': 'facebook', 'service_url': 'http://facebook.com/gobiernousa', 'account': 'Facebook', 'language': 'Spanish', 'status': 'published', 'short_description': 'GobiernoUSA.gov te ayuda a encontrar información oficial sobre programas y servicios del Gobierno de los Estados Unidos por Internet. Visita nuestra página principal en https://gobierno.usa.gov//', 'long_description': 'Información oficial en español del Gobierno de Estados Unidos\r\n\r\nNuestra misión:\r\nFacilitar a las personas con conocimiento limitado del inglés acceso a información sobre servicios y programas del Gobierno\r\n\r\nResaltar las iniciativas actuales y recursos del Gobierno que benefician a la comunidad hispana\r\n\r\nReforzar la calidad de la información y los servicios en español que están a su disposición en los sitios web del Gobierno de EE. UU.\r\n\r\nNuestra política de comentarios\r\n\r\nRecibiremos tus comentarios con mucho gusto si tienes 13 años o más (en inglés) y esperamos que nuestras conversaciones sean respetuosas. Eres responsable por el contenido que compartes. Te pedimos que te adhieras a nuestra política de comentarios.', 'tags': ['ocsit']}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] U.S. Department of the Treasury (2122),[digitalregistry] U.S. Department of the Treasury (2122),"{'id': 2122, 'name': 'U.S. Department of the Treasury', 'url': 'https://home.treasury.gov/', 'abbreviation': 'USDT', 'domain': 'treas.gov', 'digital_analytics_path': '', 'mission_statement': 'Maintain a strong economy and create economic and job opportunities by promoting the conditions that enable economic growth and stability at home and abroad, strengthen national security by combating threats and protecting the integrity of the financial system, and manage the U.S. Government’s finances and resources effectively.', 'mission_statement_url': 'https://home.treasury.gov/', 'performance_url': 'https://home.treasury.gov/about/budget-financial-reporting-planning-and-performance/budget-requestannual-performance-plan-and-reports', 'strategic_plan_url': 'https://home.treasury.gov/about/budget-financial-reporting-planning-and-performance/strategic-plan', 'learning_agenda_url': 'https://www.evaluation.gov/agencies/department-of-treasury/', 'cfo_act_agency': True, 'digital_service_accounts': [{'name': 'United States Mint', 'contacts': [], 'service': 'facebook', 'service_url': 'http://facebook.com/UnitedStatesMint', 'account': 'Facebook', 'language': 'English', 'status': 'published', 'short_description': ""Welcome to the United States Mint's Facebook page. If you are looking for the official Web site of the United States Mint, please visit www.usmint.gov"", 'long_description': ""The primary mission of the United States Mint is to manufacture and distribute circulating coins, precious metals and collectible coins, and national medals to meet the needs of the United States. In addition to producing coins and medals, the United States Mint also maintains physical custody and protection of the Nation's gold and silver assets."", 'tags': []}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] Department of Commerce (2138),[digitalregistry] Department of Commerce (2138),"{'id': 2138, 'name': 'Department of Commerce', 'url': 'https://www.commerce.gov/', 'abbreviation': 'DOC', 'domain': 'doc.gov', 'digital_analytics_path': 'commerce', 'mission_statement': 'Create the conditions for economic growth and opportunity for all communities.', 'mission_statement_url': 'https://www.commerce.gov/', 'performance_url': 'https://www.commerce.gov/about/budget-and-performance', 'strategic_plan_url': 'https://www.commerce.gov/about/budget-and-performance', 'learning_agenda_url': 'https://www.evaluation.gov/agencies/department-of-commerce/', 'cfo_act_agency': True, 'digital_service_accounts': [{'name': 'U.S. Census Bureau ', 'contacts': [], 'service': 'facebook', 'service_url': 'http://facebook.com/uscensusbureau', 'account': 'Facebook', 'language': 'English', 'status': 'published', 'short_description': ""Your trusted source for quality statistics about our nation's people, places and economy. www.census.gov/"", 'long_description': '', 'tags': []}]}"
