path,name,budget_account_code,budget_account_name,budget_agency_code,budget_agency_name,budget_budget_level,budget_bureau_code,budget_bureau_name,budget_id,budget_name,budget_normalized_name,cisagov_name,cisagov_normalized_name,federalregister_agency_url,federalregister_child_ids,federalregister_child_slugs,federalregister_description,federalregister_id,federalregister_json_url,federalregister_logo_medium_url,federalregister_logo_small_url,federalregister_logo_thumb_url,federalregister_name,federalregister_normalized_name,federalregister_recent_articles_url,federalregister_short_name,federalregister_slug,federalregister_url,opmgov_employment,opmgov_id,opmgov_name,opmgov_normalized_name,opmgov_type,samgov_agencycode,samgov_cgaclist_0_cgac,samgov_cgaclist_1_cgac,samgov_cgaclist_2_cgac,samgov_cgaclist_3_cgac,samgov_cgaclist_4_cgac,samgov_createdby,samgov_createddate,samgov_fhagencyorgname,samgov_fhdeptindagencyorgid,samgov_fhorgid,samgov_fhorgname,samgov_fhorgnamehistory_0_effectivedate,samgov_fhorgnamehistory_0_fhorgname,samgov_fhorgparenthistory_0_actiontype,samgov_fhorgparenthistory_0_codehierarchy,samgov_fhorgparenthistory_0_effectivedate,samgov_fhorgparenthistory_0_fhfullparentpathid,samgov_fhorgparenthistory_0_fhfullparentpathname,samgov_fhorgtype,samgov_lastupdateddate,samgov_links_0_href,samgov_links_0_rel,samgov_links_1_href,samgov_links_1_rel,samgov_name,samgov_normalized_name,samgov_oldfpdsofficecode,samgov_status,samgov_updatedby,usagov_contact_0_link,usagov_contact_0_title,usagov_contact_1_link,usagov_contact_1_title,usagov_contact_2_link,usagov_contact_2_title,usagov_contact_3_link,usagov_contact_3_title,usagov_contact_4_link,usagov_contact_4_title,usagov_contact_5_link,usagov_contact_5_title,usagov_contact_6_link,usagov_contact_6_title,usagov_contact_7_link,usagov_contact_7_title,usagov_contact_8_link,usagov_contact_8_title,usagov_description,usagov_email_0_link,usagov_email_0_title,usagov_email_1_link,usagov_email_1_title,usagov_main_address_0,usagov_main_address_1,usagov_main_address_2,usagov_main_address_3,usagov_main_address_4,usagov_main_address_5,usagov_name,usagov_normalized_name,usagov_phone_number_0,usagov_phone_number_1,usagov_phone_number_2,usagov_toll-free_number_0,usagov_toll-free_number_1,usagov_toll-free_number_2,usagov_tty_0,usagov_tty_1,usagov_tty_2,usagov_website_0_link,usagov_website_0_title,usagov_website_1_link,usagov_website_1_title,usagov_website_2_link,usagov_website_2_title,usagov_website_3_link,usagov_website_3_title,usaspending_abbreviation,usaspending_active_fq,usaspending_active_fy,usaspending_agency_id,usaspending_agency_name,usaspending_agency_slug,usaspending_budget_authority_amount,usaspending_code,usaspending_congressional_justification_url,usaspending_current_total_budget_authority_amount,usaspending_id,usaspending_name,usaspending_new_award_count,usaspending_normalized_name,usaspending_obligated_amount,usaspending_outlay_amount,usaspending_percentage_of_total_budget_authority,usaspending_toptier_code,usaspending_total_obligations,usaspending_transaction_count,usgovmanual_addresses_0_email,usgovmanual_addresses_0_fax,usgovmanual_addresses_0_phone,usgovmanual_addresses_0_phone2,usgovmanual_addresses_0_url,usgovmanual_addresses_1_email,usgovmanual_addresses_1_fax,usgovmanual_addresses_1_phone,usgovmanual_addresses_1_url,usgovmanual_addresses_2_email,usgovmanual_addresses_2_phone,usgovmanual_addresses_2_url,usgovmanual_addresses_3_url,usgovmanual_addresses_4_url,usgovmanual_addresses_5_url,usgovmanual_category,usgovmanual_id,usgovmanual_introduction,usgovmanual_mission_statement_records_0_text,usgovmanual_mission_statement_records_1_note,usgovmanual_mission_statement_records_1_text,usgovmanual_name,usgovmanual_normalized_name,usgovmanual_organization_chart
/US FEDERAL GOVERNMENT,US FEDERAL GOVERNMENT,,,,,,,,,US FEDERAL GOVERNMENT,Us Federal Government,US FEDERAL GOVERNMENT,Us Federal Government,,,,,,,,,,US FEDERAL GOVERNMENT,Us Federal Government,,,,,,,US FEDERAL GOVERNMENT,Us Federal Government,,,,,,,,,,,,,,,,,,,,,,,,,,,US FEDERAL GOVERNMENT,Us Federal Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US FEDERAL GOVERNMENT,Us Federal Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US FEDERAL GOVERNMENT,,Us Federal Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,US FEDERAL GOVERNMENT,Us Federal Government,
/US FEDERAL GOVERNMENT/400 YEARS OF AFRICAN AMERICAN HISTORY COMMISSION (500174963),400 YEARS OF AFRICAN AMERICAN HISTORY COMMISSION (500174963),,,247,400 Years of African-American History Commission,agency,,,247,400 Years of African-American History Commission,400 Years of African - American History Commission,,,,,,,,,,,,,,,,,,,,,,,2471,247,,,,,brian.gilman+supadmin@gsa.gov,2021-01-14 15:59,400 YEARS OF AFRICAN AMERICAN HISTORY COMMISSION,500174963,500174963,400 YEARS OF AFRICAN AMERICAN HISTORY COMMISSION,2018-01-08 00:00,400 YEARS OF AFRICAN AMERICAN HISTORY COMMISSION,CREATE,,2018-01-08 00:00,500174963,400 YEARS OF AFRICAN AMERICAN HISTORY COMMISSION,Department/Ind. Agency,2021-04-06 15:57,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=500174963,self,,,400 YEARS OF AFRICAN AMERICAN HISTORY COMMISSION,400 Years of AFRICAN AMERICAN History Commission,,ACTIVE,update fpds_code from 247 to 2471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/ADMINISTRATIVE CONFERENCE OF THE U. S. (300000057),ADMINISTRATIVE CONFERENCE OF THE U. S. (300000057),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9515,302,,,,,IAE_DATA_TEAM,2017-10-05 12:35,ADMINISTRATIVE CONFERENCE OF THE U S,300000057,300000057,ADMINISTRATIVE CONFERENCE OF THE U. S.,1978-10-15 00:00,ADMINISTRATIVE CONFERENCE OF THE U. S.,CREATE,,1978-10-15 00:00,300000057,ADMINISTRATIVE CONFERENCE OF THE U S,Department/Ind. Agency,2019-09-14 18:41,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000057,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000057,nextlevelchildren,ADMINISTRATIVE CONFERENCE OF THE U. S.,Administrative Conference of the U. S.,,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUS,2,2023,1136,Administrative Conference of the U.S.,administrative-conference-of-the-us,0.0,,https://www.acus.gov/cj,13989327919708.82,302,Administrative Conference of the U.S.,,Administrative Conference of the U.S.,0.0,0.0,0.0,302,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/ADMINISTRATIVE OFFICE OF THE U.S. COURTS (300000015),ADMINISTRATIVE OFFICE OF THE U.S. COURTS (300000015),,,,,,,,,,,Administrative Office U.S. Courts,Administrative Office U.S. Courts,,,,,,,,,,,,,,,,,,,,,1027,010,,,,,IAE_DATA_TEAM,2017-10-05 12:35,ADMINISTRATIVE OFFICE OF THE US COURTS,300000015,300000015,ADMINISTRATIVE OFFICE OF THE U.S. COURTS,1957-07-01 00:00,ADMINISTRATIVE OFFICE OF THE U.S. COURTS,CREATE,,1957-07-01 00:00,300000015,ADMINISTRATIVE OFFICE OF THE US COURTS,Department/Ind. Agency,2020-06-30 09:56,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000015,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000015,nextlevelchildren,ADMINISTRATIVE OFFICE OF THE U.S. COURTS,Administrative Office of the U.S. Courts,,ACTIVE,IAE_37738_TAS2_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/ADVISORY COUNCIL ON HISTORIC PRESERVATION (300000063),ADVISORY COUNCIL ON HISTORIC PRESERVATION (300000063),,,306,Advisory Council on Historic Preservation,agency,,,306,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,,,,,,,,,,,,,,,,,,,,,,,9530,306,,,,,IAE_DATA_TEAM,2017-10-05 12:35,ADVISORY COUNCIL ON HISTORIC PRESERVATION,300000063,300000063,ADVISORY COUNCIL ON HISTORIC PRESERVATION,1998-01-01 00:00,ADVISORY COUNCIL ON HISTORIC PRESERVATION,CREATE,,1998-01-01 00:00,300000063,ADVISORY COUNCIL ON HISTORIC PRESERVATION,Department/Ind. Agency,2019-09-14 18:41,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000063,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000063,nextlevelchildren,ADVISORY COUNCIL ON HISTORIC PRESERVATION,Advisory Council on Historic Preservation,,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/AGENCY FOR INTERNATIONAL DEVELOPMENT (100148640),AGENCY FOR INTERNATIONAL DEVELOPMENT (100148640),,,184,International Assistance Programs,bureau,15,Agency for International Development,184-15,Agency for International Development,Agency for International Development,,,,,,,,,,,,,,,,,,,,,,,7200,072,,,,,,2005-07-21 00:00,AGENCY FOR INTERNATIONAL DEVELOPMENT,100148640,100148640,AGENCY FOR INTERNATIONAL DEVELOPMENT,1957-07-01 00:00,AGENCY FOR INTERNATIONAL DEVELOPMENT,CREATE,,1957-07-01 00:00,100148640,AGENCY FOR INTERNATIONAL DEVELOPMENT,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100148640,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100148640,nextlevelchildren,AGENCY FOR INTERNATIONAL DEVELOPMENT,Agency for International Development,7200,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USAID,,,,,,,,,,072-USAID,Agency for International Development,974,Agency for International Development,,,,,17938258530.75,6368,,,,,,,,,,,,,,,,,,,,,,,,
"/US FEDERAL GOVERNMENT/AGRICULTURE, DEPARTMENT OF (100006809)","AGRICULTURE, DEPARTMENT OF (100006809)",,,,,,,,,,,,,http://www.usda.gov/wps/portal/usda/usdahome,,,"The Department of Agriculture works to improve and maintain farm income and to develop and expand markets abroad for agricultural products. The Department helps to curb and cure poverty, hunger, and malnutrition. It works to enhance the environment and to maintain production capacity by helping landowners protect the soil, water, forests, and other natural resources. The Department, through inspection and grading services, safeguards and ensures standards of quality in the daily food supply.

The Department of Agriculture (USDA) was created by act of May 15, 1862 (7 U.S.C. 2201).",12,https://www.federalregister.gov/api/v1/agencies/12,https://agency-logos.federalregister.gov/12/medium.png?1572032644,https://agency-logos.federalregister.gov/12/small.png?1572032644,https://agency-logos.federalregister.gov/12/thumb.png?1572032644,Agriculture Department,Agriculture Department,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=12&order=newest,USDA,agriculture-department,https://www.federalregister.gov/agencies/agriculture-department,,,,,,1200,012,,,,,,2003-04-28 00:00,"AGRICULTURE, DEPARTMENT OF",100006809,100006809,"AGRICULTURE, DEPARTMENT OF",1957-07-01 00:00,"AGRICULTURE, DEPARTMENT OF",CREATE,,1957-07-01 00:00,100006809,"AGRICULTURE, DEPARTMENT OF",Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100006809,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100006809,nextlevelchildren,"AGRICULTURE, DEPARTMENT OF","Agriculture, Department of",1200,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/AMERICAN BATTLE MONUMENTS COMMISSION (300000042),AMERICAN BATTLE MONUMENTS COMMISSION (300000042),,,200,Other Defense--Civil Programs,bureau,15,American Battle Monuments Commission,200-15,American Battle Monuments Commission,American Battle Monuments Commission,,,,,,,,,,,,,,,,,,,,,,,7400,074,,,,,IAE_DATA_TEAM,2017-10-05 12:35,AMERICAN BATTLE MONUMENTS COMMISSION,300000042,300000042,AMERICAN BATTLE MONUMENTS COMMISSION,1957-07-01 00:00,AMERICAN BATTLE MONUMENTS COMMISSION,CREATE,,1957-07-01 00:00,300000042,AMERICAN BATTLE MONUMENTS COMMISSION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000042,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000042,nextlevelchildren,AMERICAN BATTLE MONUMENTS COMMISSION,AMERICAN Battle Monuments Commission,,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/APPALACHIAN REGIONAL COMMISSION (300000713),APPALACHIAN REGIONAL COMMISSION (300000713),,,309,Appalachian Regional Commission,agency,,,309,Appalachian Regional Commission,Appalachian Regional Commission,,,,,,,,,,,,,,,,,,,,,,,4602,309,,,,,DATA TEAM,2017-12-11 15:45,APPALACHIAN REGIONAL COMMISSION,300000713,300000713,APPALACHIAN REGIONAL COMMISSION,2002-01-01 00:00,APPALACHIAN REGIONAL COMMISSION,CREATE,,2002-01-01 00:00,300000713,APPALACHIAN REGIONAL COMMISSION,Department/Ind. Agency,2019-09-14 18:41,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000713,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000713,nextlevelchildren,APPALACHIAN REGIONAL COMMISSION,APPALACHIAN Regional Commission,,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/ARCHITECT OF THE CAPITOL (300000004),ARCHITECT OF THE CAPITOL (300000004),,,1,Legislative Branch,bureau,15,Architect of the Capitol,1-15,Architect of the Capitol,Architect of the Capitol,,,,,,,,,,,,,,,,,,,,,,,0100,001,,,,,IAE_DATA_TEAM,2017-10-05 12:35,ARCHITECT OF THE CAPITOL,300000004,300000004,ARCHITECT OF THE CAPITOL,2002-01-01 00:00,ARCHITECT OF THE CAPITOL,CREATE,,2002-01-01 00:00,300000004,ARCHITECT OF THE CAPITOL,Department/Ind. Agency,2019-09-14 18:41,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000004,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000004,nextlevelchildren,ARCHITECT OF THE CAPITOL,Architect of the Capitol,,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
