path,name,usgovmanual_addresses_0_email,usgovmanual_addresses_0_fax,usgovmanual_addresses_0_phone,usgovmanual_addresses_0_phone2,usgovmanual_addresses_0_url,usgovmanual_addresses_1_email,usgovmanual_addresses_1_fax,usgovmanual_addresses_1_phone,usgovmanual_addresses_1_url,usgovmanual_addresses_2_email,usgovmanual_addresses_2_phone,usgovmanual_category,usgovmanual_id,usgovmanual_mission_statement_records_0_text,usgovmanual_mission_statement_records_1_note,usgovmanual_mission_statement_records_1_text,usgovmanual_name,usgovmanual_organization_chart
/US FEDERAL GOVERNMENT,US FEDERAL GOVERNMENT,,,,,,,,,,,,,,,,,US FEDERAL GOVERNMENT,
/US FEDERAL GOVERNMENT/[usgovmanual] Congress (70),[usgovmanual] Congress (70),,,,,http://www.congress.gov,,,,,,,Legislative Branch,70,"The Congress of the United States was created by Article I, section 1, of the Constitution, adopted by the Constitutional Convention on September 17, 1787, providing that “All legislative Powers herein granted shall be vested in a Congress of the United States, which shall consist of a Senate and House of Representatives.""","New York ratified the Constitution on July 26, 1788, but did not elect its Senators until July 15 and 16, 1789. North Carolina did not ratify the Constitution until November 21, 1789; Rhode Island ratified it on May 29, 1790.","The first Congress under the Constitution met on March 4, 1789, in the Federal Hall in New York City. The membership then consisted of 20 Senators and 59 Representatives.*",Congress,
/US FEDERAL GOVERNMENT/[usgovmanual] Architect of the Capitol (73),[usgovmanual] Architect of the Capitol (73),,,202-228-1793,,http://www.aoc.gov,,,,,,,Legislative Branch,73,The Architect of the Capitol maintains the U.S. Capitol and the buildings and grounds of the Capitol campus.,,,Architect of the Capitol,
/US FEDERAL GOVERNMENT/[usgovmanual] Congressional Budget Office (79),[usgovmanual] Congressional Budget Office (79),,,202-226-2600,,http://www.cbo.gov,,,,,,,Legislative Branch,79,The Congressional Budget Office independently analyzes budgetary and economic issues to support the congressional budget process.,,,Congressional Budget Office,
/US FEDERAL GOVERNMENT/[usgovmanual] Government Accountability Office (75),[usgovmanual] Government Accountability Office (75),,,202-512-3000,,http://www.gao.gov,,,,,,,Legislative Branch,75,The Government Accountability Office helps the Congress fulfill its constitutional responsibilities and heightens the Federal Government's accountability and performance.,,,Government Accountability Office,
/US FEDERAL GOVERNMENT/[usgovmanual] Government Publishing Office (76),[usgovmanual] Government Publishing Office (76),,,202-512-1800,,http://www.gpo.gov,,,,,,,Legislative Branch,76,"The Government Publishing Office produces, procures, and disseminates printed and electronic publications of the Congress, executive departments, and Federal agencies and establishments",,,Government Publishing Office,
/US FEDERAL GOVERNMENT/[usgovmanual] Library of Congress (77),[usgovmanual] Library of Congress (77),,,202-707-5000,,http://www.loc.gov,,,,,,,Legislative Branch,77,"The Library of Congress is the national library of the United States, offering diverse materials for research, including the world's most extensive collections in areas such as American history, music, and law.",,,Library of Congress,https://govmanual.gpo.gov/ReadLibraryItem.ashx?SFN=9xYQyKKQzzx3u52vPn+DGg==&SF=PAmu4nDRyaoCugTKvsXyXx/6G6ZqqOY1fk7ZHZboqk4=
/US FEDERAL GOVERNMENT/[usgovmanual] United States Botanic Garden (74),[usgovmanual] United States Botanic Garden (74),usbg@aoc.gov,,202-226-8333,,http://www.usbg.gov,,,202-226-4780,,,,Legislative Branch,74,"The United States Botanic Garden demonstrates the essential contribution that plants make aesthetically, culturally, ecologically, economically, and therapeutically, to the well-being of humankind, and it supports partnerships, nationally and internationally, by fostering exchanges of information and ideas.",,,United States Botanic Garden,
/US FEDERAL GOVERNMENT/[usgovmanual] The Supreme Court of the United States (80),[usgovmanual] The Supreme Court of the United States (80),,,202-479-3000,,http://www.supremecourt.gov,,,,,,,Judicial Branch,80,"Article III, section 1, of the Constitution of the United States provides that ""[t]he judicial Power of the United States, shall be vested in one supreme Court, and in such inferior Courts as the Congress may from time to time ordain and establish.""",,,The Supreme Court of the United States,
/US FEDERAL GOVERNMENT/[usgovmanual] Lower Courts (81),[usgovmanual] Lower Courts (81),,,,,,,,,,,,Judicial Branch,81,,,,Lower Courts,
/US FEDERAL GOVERNMENT/[usgovmanual] Special Courts (88),[usgovmanual] Special Courts (88),,,,,,,,,,,,Judicial Branch,88,,,,Special Courts,
/US FEDERAL GOVERNMENT/[usgovmanual] Administrative Office of the United States Courts (93),[usgovmanual] Administrative Office of the United States Courts (93),,,202-502-2600,,http://www.uscourts.gov,,,,,,,Judicial Branch,93,"The Administrative Office of the United States Courts supports and serves the nonjudicial, administrative business of the United States Courts.",,,Administrative Office of the United States Courts,
